iter	Passed	Remaining
1597	27572	32818
1598	27589	32799
1599	27604	32780
1600	27620	32761
1601	27635	32741
1602	27650	32721
1603	27666	32703
1604	27683	32686
1605	27699	32667
1606	27716	32649
1607	27734	32632
1608	27753	32617
1609	27771	32601
1610	27787	32582
1611	27804	32564
1612	27820	32546
1613	27834	32525
1614	27849	32505
1615	27863	32484
1616	27879	32465
1617	27894	32445
1618	27909	32425
1619	27923	32405
1620	27938	32385
1621	27952	32364
1622	27967	32344
1623	27981	32323
1624	27997	32304
1625	28011	32283
1626	28026	32264
1627	28042	32245
1628	28056	32224
1629	28070	32203
1630	28084	32183
1631	28100	32163
1632	28115	32143
1633	28129	32123
1634	28143	32102
1635	28159	32083
1636	28174	32063
1637	28189	32044
1638	28207	32027
1639	28224	32010
1640	28238	31990
1641	28253	31970
1642	28268	31950
1643	28283	31930
1644	28297	31910
1645	28314	31892
1646	28332	31876
1647	28347	31856
1648	28361	31835
1649	28377	31817
1650	28392	31797
1651	28407	31777
1652	28422	31758
1653	28439	31740
1654	28454	31721
1655	28469	31701
1656	28483	31680
1657	28499	31661
1658	28552	31685
1659	28580	31679
1660	28604	31669
1661	28628	31660
1662	28648	31645
1663	28664	31627
1664	28680	31608
